hanzi,pinyin,english
爱,ài,to love
八,bā,eight
爸爸,bàba,dad; father
杯子,bēizi,cup; glass
北京,Běijīng,Beijing
本,běn,measure word for books
不客气,bú kèqi,you're welcome
不,bù,not; no
菜,cài,dish; vegetable
茶,chá,tea
吃,chī,to eat
出租车,chūzūchē,taxi
打电话,dǎ diànhuà,to make a phone call
大,dà,big
的,de,possessive particle
点,diǎn,o'clock; a little; dot
电脑,diànnǎo,computer
电视,diànshì,television
电影,diànyǐng,movie
东西,dōngxi,thing; stuff
都,dōu,all; both
读,dú,to read
对不起,duìbuqǐ,sorry
多,duō,many; much
多少,duōshao,how many; how much
儿子,érzi,son
二,èr,two
饭馆,fànguǎn,restaurant
飞机,fēijī,airplane
分钟,fēnzhōng,minute
高兴,gāoxìng,happy; glad
个,gè,general measure word
工作,gōngzuò,work; job
狗,gǒu,dog
汉语,Hànyǔ,Chinese language
好,hǎo,good
号,hào,date; number
喝,hē,to drink
和,hé,and; with
很,hěn,very
后面,hòumiàn,behind; back
回,huí,to return
会,huì,can; to be able to
火车站,huǒchēzhàn,train station
几,jǐ,how many; several
家,jiā,home; family
叫,jiào,to be called; to call
今天,jīntiān,today
九,jiǔ,nine
开,kāi,to open; to drive
看,kàn,to look; to watch; to read
看见,kànjiàn,to see
块,kuài,measure word for money (yuan)
来,lái,to come
老师,lǎoshī,teacher
了,le,completed-action particle
冷,lěng,cold
里,lǐ,inside
六,liù,six
妈妈,māma,mom; mother
吗,ma,question particle
买,mǎi,to buy
猫,māo,cat
没关系,méi guānxi,it doesn't matter; never mind
没有,méiyǒu,to not have; there is not
米饭,mǐfàn,cooked rice
名字,míngzi,name
明天,míngtiān,tomorrow
哪,nǎ,which
哪儿,nǎr,where
那,nà,that
呢,ne,question particle
能,néng,can; to be able to
你,nǐ,you
年,nián,year
女儿,nǚ'ér,daughter
朋友,péngyou,friend
漂亮,piàoliang,beautiful; pretty
苹果,píngguǒ,apple
七,qī,seven
前面,qiánmiàn,front; in front
钱,qián,money
请,qǐng,please; to invite
去,qù,to go
热,rè,hot
人,rén,person; people
认识,rènshi,to know; to recognize
三,sān,three
商店,shāngdiàn,shop; store
上,shàng,up; on; above
上午,shàngwǔ,morning; forenoon
少,shǎo,few; little
谁,shéi,who
什么,shénme,what
十,shí,ten
时候,shíhou,time; moment
是,shì,to be
书,shū,book
水,shuǐ,water
水果,shuǐguǒ,fruit
睡觉,shuìjiào,to sleep
说,shuō,to speak; to say
四,sì,four
岁,suì,year of age
他,tā,he; him
她,tā,she; her
太,tài,too; excessively
天气,tiānqì,weather
听,tīng,to listen
同学,tóngxué,classmate
喂,wéi,hello (on the phone)
我,wǒ,I; me
我们,wǒmen,we; us
五,wǔ,five
喜欢,xǐhuan,to like
下,xià,down; below; next
下午,xiàwǔ,afternoon
下雨,xià yǔ,to rain
先生,xiānsheng,Mr.; sir; husband
现在,xiànzài,now
想,xiǎng,to want; to think
小,xiǎo,small
小姐,xiǎojiě,Miss; young lady
些,xiē,some
写,xiě,to write
谢谢,xièxie,thank you
星期,xīngqī,week
学生,xuéshēng,student
学习,xuéxí,to study; to learn
学校,xuéxiào,school
一,yī,one
衣服,yīfu,clothes
医生,yīshēng,doctor
医院,yīyuàn,hospital
椅子,yǐzi,chair
有,yǒu,to have
月,yuè,month; moon
在,zài,at; in; located at
再见,zàijiàn,goodbye
怎么,zěnme,how
怎么样,zěnmeyàng,how about; how is it
这,zhè,this
中国,Zhōngguó,China
中午,zhōngwǔ,noon
住,zhù,to live; to stay
桌子,zhuōzi,table; desk
字,zì,character; word
昨天,zuótiān,yesterday
坐,zuò,to sit
做,zuò,to do; to make
